round,client,labeled_count,ve_median,bal_acc,f1_macro,auc_ovr,pseudo_acc
1,RSNA,264,1.6012588741172533,0.4159207048005282,0.4024778820098229,0.710965073928788,0.15625
1,MENDELEY,264,1.601232663211455,0.5601603259136125,0.571096622123884,0.8730442651791911,0.1875
2,RSNA,328,1.605731643957998,0.446978133004332,0.4419648937510335,0.7282357612310653,0.28125
2,MENDELEY,328,1.595583493554817,0.5834720622488108,0.601127965387302,0.8851669769469963,0.140625
3,RSNA,392,1.6061683546985601,0.44661648208107374,0.4334023379532163,0.7365357833466034,0.25
3,MENDELEY,392,1.597276877472825,0.5904547440086831,0.5931339973468788,0.8940162974383936,0.203125
4,RSNA,456,1.60536694660435,0.4332389484050319,0.4246409727552457,0.7285981646516644,0.359375
4,MENDELEY,456,1.5913922627211572,0.5963041222239724,0.5995823496970489,0.8924641341528343,0.21875
5,RSNA,520,1.605126090919478,0.4498746380650876,0.44475643606883286,0.7337531645718187,0.1875
5,MENDELEY,520,1.5910537034371424,0.5880240239738118,0.5922960436176193,0.8876017800656559,0.234375
1,RSNA,264,1.6012588741172533,0.4159207048005282,0.4024778820098229,0.710965073928788,0.15625
1,MENDELEY,264,1.601232663211455,0.5601603259136125,0.571096622123884,0.8730442651791911,0.1875
2,RSNA,328,1.605731643957998,0.446978133004332,0.4419648937510335,0.7282357612310653,0.28125
2,MENDELEY,328,1.595583493554817,0.5834720622488108,0.601127965387302,0.8851669769469963,0.140625
3,RSNA,392,1.6061683546985601,0.44661648208107374,0.4334023379532163,0.7365357833466034,0.25
3,MENDELEY,392,1.597276877472825,0.5904547440086831,0.5931339973468788,0.8940162974383936,0.203125
4,RSNA,456,1.60536694660435,0.4332389484050319,0.4246409727552457,0.7285981646516644,0.359375
4,MENDELEY,456,1.5913922627211572,0.5963041222239724,0.5995823496970489,0.8924641341528343,0.21875
5,RSNA,520,1.605126090919478,0.4498746380650876,0.44475643606883286,0.7337531645718187,0.1875
5,MENDELEY,520,1.5910537034371424,0.5880240239738118,0.5922960436176193,0.8876017800656559,0.234375
6,RSNA,584,1.6053381537429126,0.45529988447867054,0.4480933095601947,0.7519444277464798,0.28125
6,MENDELEY,584,1.582939584432156,0.5913482053749026,0.5926921410757563,0.8892085780896231,0.421875
7,RSNA,648,1.605480324565138,0.46180246846594325,0.45574435451428075,0.7497652341115392,0.265625
7,MENDELEY,648,1.5802205497434714,0.5988983647595918,0.605720930167065,0.8889298648068149,0.265625
8,RSNA,712,1.6060238791153403,0.4585657280228325,0.4555896340695457,0.7463044423185974,0.3125
8,MENDELEY,712,1.577497814775844,0.6092295001175031,0.6196493546849394,0.8898609613373847,0.375
9,RSNA,776,1.6054661989605088,0.46035923090528436,0.45687129202998555,0.7515504339764444,0.234375
9,MENDELEY,776,1.5750962386177494,0.6284560019666827,0.6453820072776539,0.8931870358910524,0.34375
10,RSNA,840,1.6046552043796136,0.48328343336277524,0.4786845810494997,0.7655424230439143,0.1875
10,MENDELEY,840,1.5744963323054253,0.6197125556258728,0.6331963346228485,0.8935885170405612,0.296875
11,RSNA,904,1.6035345000338077,0.4893529817048785,0.4844959431929249,0.7715024012299383,0.265625
11,MENDELEY,904,1.5732852960703503,0.6294233415078612,0.6467081621730553,0.8992843709935595,0.296875
12,RSNA,968,1.604095439234559,0.48491832830798387,0.48016076566701693,0.7751208198142127,0.203125
12,MENDELEY,968,1.5663930138907463,0.6489328941932475,0.6682400379620737,0.9052118839924468,0.4375
13,RSNA,1032,1.6028992504909592,0.4857416847030396,0.481969626981131,0.7793889558286147,0.234375
13,MENDELEY,1032,1.5683181703832227,0.6468180066010886,0.6668289144431475,0.9070863120648489,0.5625
14,RSNA,1096,1.6035765818245562,0.5008321681011422,0.495188735471585,0.7899319802268843,0.25
14,MENDELEY,1096,1.565252019200483,0.6622087670879904,0.6835154731600153,0.907805989209632,0.421875
